"","BASEFLOW","QUICKFLOW"
"1173",2.16,0.14
"1174",2.149,0.151
"1175",2.136,0.364
"1176",2.122,0.278
"1177",2.111,0.089
"1178",2.104,0.096
"1179",2.1,0
"1180",2.1,0
"1181",2.1,0
"1182",2.1,0
"1183",2.1,0
"1184",2.1,0.1
"1185",2.101,0.099
"1186",2.102,0.098
"1187",2.103,0.097
"1188",2.105,0.495
"1189",2.11,0.39
"1190",2.115,0.485
"1191",2.123,0.477
"1192",2.131,0.369
"1193",2.138,0.362
"1194",2.144,0.456
"1195",2.15,0.35
"1196",2.154,0.446
"1197",2.157,0.343
"1198",2.159,0.441
"1199",2.16,0.34
"1200",2.145,0.355
"1201",2.125,0.375
"1202",2.103,0.397
"1203",2.079,0.321
"1204",2.057,0.243
"1205",2.037,0.363
"1206",2.015,0.485
"1207",1.99,0.41
"1208",1.962,0.738
"1209",1.931,0.469
"1210",1.895,1.305
"1211",1.851,2.349
"1212",1.789,5.611
"1213",1.703,2.697
"1214",1.602,1.298
"1215",1.53,0.57
"1216",1.504,0.096
"1217",1.5,0
"1218",1.503,2.097
"1219",1.513,1.287
"1220",1.534,4.066
"1221",1.562,0.838
"1222",1.588,0.412
"1223",1.611,0.289
"1224",1.633,0.567
"1225",1.653,0.247
"1226",1.673,1.127
"1227",1.697,2.503
"1228",1.735,6.465
"1229",1.796,4.804
"1230",1.875,2.925
"1231",1.962,3.138
"1232",2.049,1.851
"1233",2.13,1.67
"1234",2.204,1.596
"1235",2.271,0.829
"1236",2.334,1.266
"1237",2.397,3.703
"1238",2.458,1.842
"1239",2.513,1.587
"1240",2.563,1.137
"1241",2.607,0.693
"1242",2.647,1.953
"1243",2.682,0.918
"1244",2.713,2.487
"1245",2.74,1.86
"1246",2.761,1.139
"1247",2.777,1.123
"1248",2.789,0.211
"1249",2.798,0.502
"1250",2.807,0.193
"1251",2.814,0.086
